Pos: x: -0.855492 y: 4.31621 z: -2.53378 | UV: x:0.504708 y: 0.278515 | Normal: x:-0.505952 y: 0.52321 z: -0.685758
Pos: x: 2.12119 y: 0.244301 z: -1.61546 | UV: x:0.863367 y: 0.893277 | Normal: x:1 y: -0 z: 0
Pos: x: 2.12119 y: 0.1147 z: -1.86982 | UV: x:0.854484 y: 0.893825 | Normal: x:1 y: -0 z: 0
Pos: x: 2.12119 y: 0.982471 z: -2.15177 | UV: x:0.846229 y: 0.836979 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 1.26443 z: -3.01954 | UV: x:0.789448 y: 0.886963 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 1.51878 z: -2.88994 | UV: x:0.778756 y: 0.883146 | Normal: x:1 y: 0 z: 0
Pos: x: 2.12119 y: 0.982471 z: -2.15177 | UV: x:0.846229 y: 0.836979 | Normal: x:1 y: 0 z: 0
Pos: x: -0.522791 y: 1.76126 z: -1.18036 | UV: x:0.649839 y: 0.158694 | Normal: x:-0.098435 y: 0.930953 z: -0.351621
Pos: x: -0.837589 y: 1.64009 z: -1.12909 | UV: x:0.659976 y: 0.140785 | Normal: x:-0.510473 y: 0.798867 z: -0.318163
Pos: x: -0.837589 y: 1.8634 z: -0.31232 | UV: x:0.702932 y: 0.166899 | Normal: x:-0.49789 y: 0.857045 z: -0.132588
